method,head,coverage,error_rate
dropconnect,head2,0.07567567567567568,0.0
dropconnect,head2,0.07060810810810811,0.0
dropconnect,head2,0.06554054054054054,0.0
dropconnect,head2,0.06047297297297297,0.0
dropconnect,head2,0.055574324324324326,0.0
dropconnect,head2,0.050506756756756754,0.0
dropconnect,head2,0.04543918918918919,0.0
dropconnect,head2,0.04037162162162162,0.0
dropconnect,head2,0.03547297297297297,0.0
dropconnect,head2,0.030405405405405407,0.0
dropconnect,head2,0.02533783783783784,0.0
dropconnect,head2,0.02027027027027027,0.0
dropconnect,head2,0.015371621621621622,0.0
dropconnect,head2,0.010304054054054055,0.0
dropconnect,head2,0.005236486486486487,0.0
dropconnect,head2,0.00016891891891891893,0.0
dropout,head1,1.0,0.07263513513513509
dropout,head1,0.9951013513513514,0.0707859446613478
dropout,head1,0.9900337837837838,0.06927145538304047
dropout,head1,0.9849662162162162,0.0667123992454125
dropout,head1,0.9800675675675675,0.06428817649086527
dropout,head1,0.975,0.06271656271656267
dropout,head1,0.9699324324324324,0.06008359456635315
dropout,head1,0.9648648648648649,0.05882352941176472
dropout,head1,0.9599662162162163,0.05701214147457334
dropout,head1,0.9548986486486486,0.05519193348664431
dropout,head1,0.949831081081081,0.053530144051218254
dropout,head1,0.9447635135135135,0.052565707133917394
dropout,head1,0.9398648648648649,0.05086268871315602
dropout,head1,0.9347972972972973,0.04951210697506325
dropout,head1,0.9297297297297298,0.048328488372093026
dropout,head1,0.9246621621621621,0.04640116916331749
dropout,head1,0.9197635135135135,0.04554637281910012
dropout,head1,0.9146959459459459,0.043582640812557694
dropout,head1,0.9096283783783784,0.043082636954503206
dropout,head1,0.9045608108108109,0.041643323996265136
dropout,head1,0.8996621621621622,0.04130679684566274
dropout,head1,0.8945945945945946,0.0398413897280967
dropout,head1,0.889527027027027,0.03816938853019369
dropout,head1,0.8844594594594595,0.03724216959511073
dropout,head1,0.8795608108108108,0.036297292106779344
dropout,head1,0.8744932432432433,0.03476917133474988
dropout,head1,0.8694256756756756,0.034388964445307924
dropout,head1,0.8643581081081081,0.03361344537815125
dropout,head1,0.8594594594594595,0.03282232704402521
dropout,head1,0.8543918918918919,0.031830763147489116
dropout,head1,0.8493243243243244,0.031026252983293534
dropout,head1,0.8442567567567567,0.030412164865946334
dropout,head1,0.8393581081081081,0.029985912658482605
dropout,head1,0.8342905405405405,0.02956063980562862
dropout,head1,0.829222972972973,0.02851904664901206
dropout,head1,0.8241554054054054,0.02766960442713673
dropout,head1,0.8192567567567568,0.027216494845360817
dropout,head1,0.8141891891891891,0.026141078838174292
dropout,head1,0.8091216216216216,0.025052192066805867
